TreatmentGroup,Generations,AlleleDistrobution,PopulationSize,Number of alleles,RealNumberOfLoci,EstimatedNumberOfLoci,Fis,AverageShanPerIndi-1Hi,TotalShanOfPop-1Hs,Average1HiOver1Hs,AverageHighestAlleleCountPerIndividual,VarOfIndiSHAN,Number of Fixed loci,AverageRichPerIndi-0Hi,TotalRichOfPop-0Hs,VarOfIndiRICH,AverageHetPerIndi-2Hi,TotalHetOfPop-2Hs,VarOfIndiHET,EyePRime,Pee,Eye,Ell,Ohh,LOC OR AL,IndiEveness,PopEveness,Fis,Sis
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.027302037,1.510140196,2.151820522,0.701796539,1.85,0.042544783,ERROR with this fucntion atm,-3.8,10,0.76,0.763888889,0.873784722,0.002739198,"[-0.19999999999999987, '10', '4.8', 3.0, '0.48']",,,,,10,0.655845554,0.934523779,-0.027302037,0.298203461
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.029836189,1.437229452,2.054881922,0.699421916,1.9,0.043337494,ERROR with this fucntion atm,-3.475,10,0.799375,0.747222222,0.8425,0.002615741,"[0.016666666666666902, '10', '4.475', 3.0, '0.44749999999999995']",,,,,10,0.62418082,0.89242388,0.029836189,0.300578084
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.096658004,1.425564074,2.040618832,0.698594001,2.075,0.049927381,ERROR with this fucntion atm,-3.5,10,0.75,0.7375,0.843819444,0.004164738,"[0.0, '10', '4.5', 3.0, '0.45']",,,,,10,0.619114611,0.886229499,-0.096658004,0.301405999
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.070972254,1.474067011,2.109135757,0.698896221,1.825,0.044541998,ERROR with this fucntion atm,-3.625,10,0.834375,0.756944444,0.861805556,0.002575231,"[-0.08333333333333333, '10', '4.625', 3.0, '0.4625']",,,,,10,0.640179169,0.915986021,0.070972254,0.301103779
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.058558448,1.343281077,2.132041129,0.630044636,2.25,0.092577997,ERROR with this fucntion atm,-3.2,10,1.26,0.711111111,0.865069444,0.009598765,"[0.19999999999999987, '10', '4.2', 3.0, '0.42000000000000004']",,,,,10,0.583379559,0.925933698,0.058558448,0.369955364
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.130501541,1.326716773,2.019595261,0.656922106,2.225,0.07249268,ERROR with this fucntion atm,-3.1,9,0.94,0.709722222,0.853298611,0.008099923,"[0.2666666666666669, '9', '4.1', 3.0, '0.4555555555555555']",,,,,9,0.603814825,0.919157414,0.130501541,0.343077894
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.03789384,1.390255265,1.984886288,0.70042061,2.1,0.060495053,ERROR with this fucntion atm,-3.325,10,0.919375,0.730555556,0.838680556,0.00533179,"[0.11666666666666654, '10', '4.325', 3.0, '0.4325']",,,,,10,0.60378019,0.862025162,0.03789384,0.29957939
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.013648663,1.304263317,2.023869505,0.644440422,2.35,0.082829429,ERROR with this fucntion atm,-3.05,10,1.0975,0.7,0.839652778,0.008919753,"[0.3000000000000001, '10', '4.05', 3.0, '0.40499999999999997']",,,,,10,0.566434362,0.878955358,-0.013648663,0.355559578
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.03569001,1.308623718,2.049253879,0.638585454,2.225,0.074997312,ERROR with this fucntion atm,-3.025,9,1.024375,0.705555556,0.8496875,0.007592593,"[0.31666666666666643, '9', '4.025', 3.0, '0.44722222222222224']",,,,,9,0.595580321,0.932655633,0.03569001,0.361414546
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.046527471,1.341865252,2.08234497,0.644401034,2.225,0.104979101,ERROR with this fucntion atm,-3.2,10,1.31,0.709722222,0.859236111,0.011803627,"[0.19999999999999987, '10', '4.2', 3.0, '0.42000000000000004']",,,,,10,0.582764674,0.90435093,0.046527471,0.355598966
